product_slug,product_name,product_id,sku,reference_sku_private,mpn,mpn_status,brand,category,gtin,gtin_status,gtin_checksum_status,reference_price_private,currency,reference_availability_private,selling_price,availability,product_url,image_url,description,seller_brand,seller_legal_name,merchant_approved
windows-11-pro-n-for-workstation,WINDOWS 11 Pro N for Workstation,LP-F9D2602E27,LP-F9D2602E27,WS89T6,WS89T6,assignment_unverified,Microsoft,Microsoft Windows 11,0889842965452,duplicate_conflict,valid,29.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-11-pro-n-for-workstation/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-10-s,Windows 10 S,LP-2762D5C81A,LP-2762D5C81A,WS10S2,WS10S2,assignment_unverified,Microsoft,Microsoft Windows 10,0885370938814,assignment_unverified,valid,9.9,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-10-s/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-10-pro-education,Windows 10 Pro Education,LP-F1E446F068,LP-F1E446F068,10WPE0,10WPE0,assignment_unverified,Microsoft,Microsoft Windows 10,787976989781,duplicate_conflict,valid,9.95,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-10-pro-education/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
adobe-pack-2023,ADOBE PACK 2023,LP-2898C90EE8,LP-2898C90EE8,23F9HK,23F9HK,assignment_unverified,Adobe,ADOBE,5056143135098,assignment_unverified,valid,54.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/adobe-pack-2023/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
bitdefender-family-pack-2023-15-dispositivi-1-anno,BITDEFENDER FAMILY PACK 2024 - 15 dispositivi - 1 Anno,LP-A54127E999,LP-A54127E999,BIT052,BIT052,assignment_unverified,Bitdender,Bitdefender,812813015030,assignment_unverified,valid,114.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/bitdefender-family-pack-2023-15-dispositivi-1-anno/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
bitdefender-premium-vpn-2023-10-dispositivi-1-anno,BITDEFENDER PREMIUM VPN 2024 - 10 dispositivi - 1 Anno,LP-66CFCF9082,LP-66CFCF9082,GL14V5,GL14V5,assignment_unverified,Bitdender,Bitdefender,812813015306,assignment_unverified,valid,64.99,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/bitdefender-premium-vpn-2023-10-dispositivi-1-anno/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-10-enterprise-n,Windows 10 Enterprise N,LP-AAC5B93BB8,LP-AAC5B93BB8,526OIL,526OIL,assignment_unverified,Microsoft,Microsoft Windows 10,4058154221136,assignment_unverified,valid,14.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-10-enterprise-n/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-10-enterprise-n-ltsc-2021,Windows 10 Enterprise N LTSC 2021,LP-8EFF795407,LP-8EFF795407,10WPE0,10WPE0,assignment_unverified,Microsoft,Microsoft Windows 10,787976989781,duplicate_conflict,valid,39.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-10-enterprise-n-ltsc-2021/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
windows-10-enterprise-vda,Windows 10 Enterprise VDA,LP-27D3329ACF,LP-27D3329ACF,89WET6,89WET6,assignment_unverified,Microsoft,Microsoft Windows 10,0760947036493,assignment_unverified,valid,49.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/windows-10-enterprise-vda/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
sql-server-2022-standard-cals-incluse,SQL SERVER 2022 STANDARD - CALS INCLUSE,LP-E2E0800F12,LP-E2E0800F12,SQ022S,SQ022S,assignment_unverified,Microsoft,Microsoft SQL Server,8720254950594,assignment_unverified,valid,142.5,EUR,InStock,,PendingReview,https://licenzpol.it/it/product/sql-server-2022-standard-cals-incluse/,,,Licenzpol,DIGITALSOFT DI MUNSHI SHIHAB,False
